EM30508-19May2015-1453.xls,Port 1,Port 1,Port 2,Port 2,Port 3,Port 3
509 records,5TM,5TM,5TM,5TM,5TM,5TM
Measurement Time,m³/m³ VWC,°C Temp,m³/m³ VWC,°C Temp,m³/m³ VWC,°C Temp
5/8/2015 3:00:00 AM,0.21,16.6,0.25,16.8,0.28,16.3
5/8/2015 3:30:00 AM,0.21,16.3,0.25,16.7,0.28,16.3
5/8/2015 4:00:00 AM,0.21,16.2,0.25,16.6,0.28,16.2
5/8/2015 4:30:00 AM,0.21,16.0,0.25,16.5,0.28,16.2
5/8/2015 5:00:00 AM,0.21,15.9,0.25,16.4,0.28,16.1
5/8/2015 5:30:00 AM,0.21,15.7,0.25,16.3,0.28,16.0
5/8/2015 6:00:00 AM,0.21,15.6,0.25,16.1,0.28,16.0
5/8/2015 6:30:00 AM,0.21,15.5,0.25,16.1,0.28,15.9
5/8/2015 7:00:00 AM,0.21,15.3,0.25,15.9,0.28,15.9
5/8/2015 7:30:00 AM,0.21,15.2,0.25,15.8,0.28,15.8
5/8/2015 8:00:00 AM,0.21,15.1,0.25,15.7,0.28,15.8
5/8/2015 8:30:00 AM,0.21,15.0,0.25,15.6,0.28,15.7
5/8/2015 9:00:00 AM,0.21,15.0,0.25,15.5,0.28,15.6
5/8/2015 9:30:00 AM,0.21,15.1,0.25,15.5,0.28,15.6
5/8/2015 10:00:00 AM,0.21,15.2,0.25,15.4,0.28,15.5
5/8/2015 10:30:00 AM,0.21,15.3,0.25,15.4,0.28,15.5
5/8/2015 11:00:00 AM,0.21,15.4,0.25,15.4,0.28,15.4
5/8/2015 11:30:00 AM,0.21,15.6,0.25,15.4,0.28,15.4
5/8/2015 12:00:00 PM,0.21,15.8,0.25,15.4,0.28,15.3
5/8/2015 12:30:00 PM,0.21,16.0,0.25,15.5,0.28,15.3
5/8/2015 1:00:00 PM,0.21,16.1,0.25,15.5,0.28,15.3
5/8/2015 1:30:00 PM,0.22,16.3,0.25,15.6,0.28,15.3
5/8/2015 2:00:00 PM,0.22,16.8,0.25,15.6,0.28,15.3
5/8/2015 2:30:00 PM,0.22,17.4,0.25,15.7,0.28,15.3
5/8/2015 3:00:00 PM,0.22,18.0,0.25,15.9,0.28,15.3
5/8/2015 3:30:00 PM,0.22,18.7,0.25,16.1,0.28,15.3
5/8/2015 4:00:00 PM,0.22,19.4,0.26,16.4,0.28,15.3
5/8/2015 4:30:00 PM,0.22,19.8,0.26,16.6,0.28,15.4
5/8/2015 5:00:00 PM,0.22,20.1,0.26,16.9,0.28,15.5
5/8/2015 5:30:00 PM,0.22,20.3,0.26,17.2,0.28,15.6
5/8/2015 6:00:00 PM,0.22,20.4,0.26,17.4,0.28,15.7
5/8/2015 6:30:00 PM,0.22,20.4,0.26,17.6,0.28,15.8
5/8/2015 7:00:00 PM,0.22,20.2,0.26,17.7,0.28,15.9
5/8/2015 7:30:00 PM,0.22,19.9,0.26,17.8,0.28,16.0
5/8/2015 8:00:00 PM,0.22,19.5,0.26,17.9,0.28,16.1
5/8/2015 8:30:00 PM,0.22,19.1,0.26,17.9,0.28,16.2
5/8/2015 9:00:00 PM,0.22,18.6,0.26,17.8,0.28,16.2
5/8/2015 9:30:00 PM,0.22,18.2,0.26,17.7,0.28,16.3
5/8/2015 10:00:00 PM,0.22,17.7,0.26,17.6,0.28,16.3
5/8/2015 10:30:00 PM,0.21,17.3,0.26,17.4,0.28,16.3
5/8/2015 11:00:00 PM,0.21,16.9,0.26,17.2,0.28,16.3
5/8/2015 11:30:00 PM,0.21,16.6,0.26,17.1,0.28,16.3
5/9/2015 12:00:00 AM,0.21,16.2,0.25,16.9,0.28,16.3
