APSIM = 7.7
Title             Date      	sw_7         st_7         sw_15         st_15         sw_25         st_25         sw_7.se     st_7.se     sw_15.se     st_15.se     sw_25.se     st_25.se
()	          (dd/mm/yyyy)  	(mm)         (oC)          (mm)          (oC)          (mm)          (oC)          (mm)        (oC)         (mm)         (oC)         (mm)         (oC)
EarlyCorn      08/05/2015      0.29282      17.6932      0.28806      16.96893      0.31777      15.96214      0.00267      0.18196      0.00234      0.09313      0.00073      0.03593
EarlyCorn      09/05/2015      0.30028      17.85208      0.29743      17.04653      0.32      16.01111      0.0028      0.27283      0.00231      0.15017      0.00068      0.05643
EarlyCorn      10/05/2015      0.29552      17.64196      0.29448      17.53636      0.31902      16.78322      0.00256      0.04708      0.00208      0.04946      0.00062      0.02779
EarlyCorn      11/05/2015      0.29933      13.77444      0.29089      15.14778      0.31733      15.71889      0.00259      0.18989      0.00273      0.14243      0.00061      0.07093
EarlyCorn      12/05/2015      0.29621      14.8931      0.28782      13.34138      0.31299      12.64713      0.00296      0.33213      0.00274      0.23062      0.00049      0.0898
EarlyCorn      13/05/2015      0.29375      15.11458      0.29097      14.64375      0.31493      13.92431      0.00251      0.24138      0.00215      0.13805      0.00053      0.05338
EarlyCorn      14/05/2015      0.30493      14.40972      0.30222      14.71389      0.32681      14.55208      0.00239      0.0706      0.00218      0.06717      0.00125      0.03992
EarlyCorn      15/05/2015      0.30812      16.32778      0.30056      15.40208      0.32646      14.44167      0.00216      0.17634      0.002      0.11047      0.00103      0.04717
EarlyCorn      16/05/2015      0.30924      18.62153      0.3      17.42361      0.32514      15.93472      0.00235      0.16572      0.00205      0.10037      0.00095      0.04478
EarlyCorn      17/05/2015      0.31319      18.44097      0.30812      17.99722      0.33104      16.94167      0.00248      0.05651      0.00226      0.03472      0.0013      0.01381
EarlyCorn      18/05/2015      0.30021      13.73681      0.29438      14.89444      0.32167      15.47431      0.00214      0.11706      0.00193      0.10468      0.00079      0.07622
EarlyCorn      19/05/2015      0.29194      10.39028      0.28681      12.07778      0.31667      13.55972      0.0029      0.08163      0.00246      0.09299      0.00056      0.07403
