APSIM = 7.7
Title             Date      	sw_7         st_7         sw_15         st_15         sw_25         st_25         sw_7.se     st_7.se     sw_15.se     st_15.se     sw_25.se     st_25.se
()	          (dd/mm/yyyy)  	(mm)         (oC)          (mm)          (oC)          (mm)          (oC)          (mm)        (oC)         (mm)         (oC)         (mm)         (oC)
EarlySoy      08/05/2015      0.21722      17.45      0.26127      16.59921      0.25341      15.81905      0.00084      0.18503      0.00065      0.08276      0.00175      0.03722
EarlySoy      09/05/2015      0.21694      17.99236      0.26111      16.70278      0.25201      15.72569      0.00114      0.3238      0.00062      0.16045      0.00176      0.07371
EarlySoy      10/05/2015      0.21125      17.47361      0.25938      17.09583      0.25174      16.39792      0.00099      0.04703      0.00069      0.04473      0.00167      0.03296
EarlySoy      11/05/2015      0.21467      13.31      0.25689      14.69667      0.25244      15.13889      0.00055      0.19312      0.00104      0.14202      0.00172      0.08582
EarlySoy      12/05/2015      0.2154      15.41034      0.25989      13.18966      0.25172      12.28621      0.00146      0.33919      0.00087      0.22701      0.00228      0.11453
EarlySoy      13/05/2015      0.21382      15.16042      0.25882      14.21181      0.25097      13.47361      0.00112      0.29516      0.00073      0.15166      0.00184      0.07253
EarlySoy      14/05/2015      0.23507      14.19931      0.26736      14.25833      0.26479      14.01319      0.00188      0.06545      0.00118      0.06156      0.0016      0.04576
EarlySoy      15/05/2015      0.23201      16.55764      0.2709      15.25208      0.27167      14.24236      0.00053      0.1902      0.00084      0.11587      0.00097      0.06411
EarlySoy      16/05/2015      0.22806      18.86806      0.26708      17.31389      0.26681      15.93611      0.00033      0.17672      0.00077      0.1037      0.00119      0.05807
EarlySoy      17/05/2015      0.23861      18.51458      0.27188      17.84028      0.27014      16.88403      0.00096      0.06439      0.00082      0.03634      0.00096      0.01877
EarlySoy      18/05/2015      0.22764      13.45694      0.26931      14.55486      0.26389      14.99444      0.00049      0.12376      0.00064      0.10517      0.0016      0.0856
EarlySoy      19/05/2015      0.22153      9.95972      0.26667      11.54722      0.26      12.70139      0.00068      0.09308      0.00056      0.08126      0.00256      0.07426
