APSIM = 7.7
Title             Date      	sw_7         st_7         sw_15         st_15         sw_25         st_25         sw_7.se     st_7.se     sw_15.se     st_15.se     sw_25.se     st_25.se
()	          (dd/mm/yyyy)  	(mm)         (oC)          (mm)          (oC)          (mm)          (oC)          (mm)        (oC)         (mm)         (oC)         (mm)         (oC)
LateSoy      08/05/2015      0.235      17.39643      0.24429      16.325      0.24036      15.41429      0.00187      0.23215      0.00134      0.10355      0.00075      0.04332
LateSoy      09/05/2015      0.23542      17.97812      0.24198      16.53021      0.245      15.45104      0.00209      0.379      0.00188      0.18579      0.00051      0.0808
LateSoy      10/05/2015      0.22875      17.45104      0.23979      16.94583      0.24219      16.14792      0.00197      0.06057      0.00171      0.05678      0.00071      0.03822
LateSoy      11/05/2015      0.232      13.42667      0.23867      14.59833      0.23817      14.96      0.00234      0.22395      8e-04      0.16624      0.00099      0.09234
LateSoy      12/05/2015      0.23672      15.41207      0.24034      13.07759      0.24069      12.18793      0.00277      0.4152      0.00243      0.27787      0.00069      0.12674
LateSoy      13/05/2015      0.23375      15.34479      0.24      14.20417      0.24229      13.38438      0.00227      0.34948      0.00205      0.17782      0.00043      0.0777
LateSoy      14/05/2015      0.25219      14.23646      0.25833      14.20312      0.25396      13.91042      0.00241      0.08472      0.002      0.08227      0.00115      0.05239
LateSoy      15/05/2015      0.25104      16.32396      0.26094      14.92396      0.25719      13.91875      0.00128      0.22961      0.00073      0.1345      0.00059      0.06709
LateSoy      16/05/2015      0.25042      18.64062      0.25792      16.91146      0.25344      15.49062      0.00104      0.21901      0.00089      0.12223      0.00075      0.06354
LateSoy      17/05/2015      0.26375      18.35      0.26354      17.4875      0.25396      16.45833      0.00093      0.07787      0.00092      0.04316      0.00069      0.01979
LateSoy      18/05/2015      0.24927      13.76354      0.25573      14.55417      0.25219      14.8625      0.00083      0.14001      0.0011      0.1179      0.00088      0.09196
LateSoy      19/05/2015      0.25      10.32292      0.25458      11.775      0.24979      12.89167      0.00146      0.11296      0.00215      0.10704      0.00087      0.08207
